TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Provincia de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);9;11;22,2
Provincia de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1628;1820;11,8
Provincia de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2628;2540;-3,3
Provincia de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1473;1542;4,7
Provincia de Sevilla;6.-TRÁFICO DE DROGAS (EU);245;307;25,3
Provincia de Sevilla;7.-DAÑOS;5662;5591;-1,3
Provincia de Sevilla;8.-HURTOS;21044;21007;-0,2
Municipio de Alcalá de Guadaíra;1.-DELITOS Y FALTAS (EU);3020;2863;-5,2
Municipio de Alcalá de Guadaíra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Alcalá de Guadaíra;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);39;31;-20,5
Municipio de Alcalá de Guadaíra;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);180;158;-12,2
Municipio de Alcalá de Guadaíra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);61;63;3,3
Municipio de Alcalá de Guadaíra;6.-TRÁFICO DE DROGAS (EU);10;9;-10,0
Municipio de Alcalá de Guadaíra;7.-DAÑOS;319;309;-3,1
Municipio de Alcalá de Guadaíra;8.-HURTOS;893;934;4,6
Municipio de Dos Hermanas;1.-DELITOS Y FALTAS (EU);3772;3244;-14,0
Municipio de Dos Hermanas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Dos Hermanas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);94;77;-18,1
Municipio de Dos Hermanas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);107;115;7,5
Municipio de Dos Hermanas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);97;86;-11,3
Municipio de Dos Hermanas;6.-TRÁFICO DE DROGAS (EU);15;30;100,0
Municipio de Dos Hermanas;7.-DAÑOS;452;397;-12,2
Municipio de Dos Hermanas;8.-HURTOS;1241;1053;-15,1
Municipio de Sevilla;1.-DELITOS Y FALTAS (EU);33330;32624;-2,1
Municipio de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;7;75,0
Municipio de Sevilla;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1190;1338;12,4
Municipio de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);734;741;1,0
Municipio de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);861;902;4,8
Municipio de Sevilla;6.-TRÁFICO DE DROGAS (EU);96;103;7,3
Municipio de Sevilla;7.-DAÑOS;2989;3117;4,3
Municipio de Sevilla;8.-HURTOS;13278;13869;4,5
Municipio de Utrera;1.-DELITOS Y FALTAS (EU);2015;1666;-17,3
Municipio de Utrera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
